高	Radical				Tall	Tall															This radical is the same as the kanji. It means <radical>tall</radical>.					7914	-	Lesson_53 radical
寛	Kanji	宀, 艹, 見	Roof, Flowers, See	radical, radical, radical	Tolerance	Tolerance		<reading>かん</reading>	くつろ			かん	くつろ								The <radical>roof</radical> <radical>flowers</radical> <radical>see</radical> everything. But, they only see. That is because they learned the art of <kanji>tolerance</kanji>.	These roof flowers only see because they do not judge. They accept everything. We humans can learn a thing or two about tolerance from these roof flowers.	<kanji>Tolerance</kanji> is one thing that Genghis <reading>Khan</reading> (<ja>かん</ja>) had a surprising amount of.	You wouldn't expect it, but he actually allowed many types of cultures, religions, and peoples to exist under his reign. The Mongols had an exceptional amount of tolerance for the time.		7915	-	kanji Lesson_53
胞	Kanji	月, 包	Moon, Wrap	radical, radical	Cell, Placenta	Cell, Placenta		<reading>ほう</reading>				ほう									Take the <radical>moon</radical> and <radical>wrap</radical> it in a bag and it will look just like a <kanji>cell</kanji>. It's a circle in a bigger circle. The moon is the nucleus. Yes! Science is happening!	Picture the moon with a big bag circling it. Now look down at your biology homework on cells. They're identical!	As you learn about <kanji>cell</kanji>s you realize they're all over your <reading>ho</reading>me (<ja>ほう</ja>). Without ever noticing it, your home has been slowly filling with dead skin cells. And now that you know what they look like (the moon with a plastic wrap bag around it) you can see them everywhere.	AHHH CLEAN ALL OF THESE CELLS OUT OF YOUR HOME!		7916	-	kanji Lesson_53
随	Kanji	阝, 有, ⻌	Building, Have, Scooter	radical, radical, radical	All	All		<reading>ずい</reading>	したが まにま			ずい	したが, まにま								How many <radical>building</radical>s <radical>have</radical> <radical>scooter</radical>s? <kanji>All</kanji> of them!	All buildings have at least one scooter. It could be out front, on the roof, in the basement. But all of them have scooters and someone who likes to ride them instead of using a car or a bike.	<kanji>All</kanji> of these scooters have a specific sound they make as they burst out of the buildings: <reading>zuwee</reading> (<ja>ずい</ja>).	Imagine the sound of the scooter's tiny engine: zuwee zuwee zu zu zuwee. All of them do this, which is why you hate them.		7917	-	kanji Lesson_53
稿	Kanji	禾, 高	Grain, Tall	radical, radical	Draft	Draft		<reading>こう</reading>	したがき わら			こう	したがき, わら								When what you're writing is as <radical>tall</radical> as the <radical>grain</radical>s growing outside, you know you're done with your first <kanji>draft</kanji>. Some teachers want papers to be a certain number of words or pages, but that's silly. You should measure your draft in grains!	Imagine holding your draft up outside in a field of grains. You're a couple leaves short. Time to get back to the drawing board.	Who asked you to write such a tall <kanji>draft</kanji> in the first place? Emperor <ja><reading>こう</reading>いち</ja>, who wants you to draft up the world's largest book about how great of an emperor he is.	Now <ja>こういち</ja> is out there measuring your draft against the tall grain plants. You better hope it's long enough, because if it isn't, Emperor <ja>こういち</ja>'s probably going to execute you. 		7918	-	kanji Lesson_53
丹	Kanji	舟	Boat	radical	Rust Colored, Red, Sincerity 	Rust Colored, Red, Sincerity 		<reading>たん</reading>	に			たん	に								This is a <radical>boat</radical>, but it's missing some pieces. That's because it's really rusty, so parts are falling off of it and it looks <kanji>rust colored</kanji>. In ancient Chinese literature, this rusty red color represented <kanji>sincerity</kanji>, and you'll often see this kanji take that meaning in jukugo words. 	Picture this broken, rust colored boat. It's a reddish-brown color and it's definitely missing some important pieces.	The <kanji>rust colored</kanji> boat has inspired you, so you sit down next to it in the sun and <reading>tan</reading> (<ja>たん</ja>). You want to be the exact same rust color as the boat, and in a few hours you're sure you'll match.	Watch your skin slowly change as you tan to match the rust colored boat. Feel your skin in the sun. This may not be good for your health, but it's great for fashion!		7919	-	kanji Lesson_53
壌	Kanji	土, 㐮	Dirt, Nurse	radical, radical	Soil, Earth	Soil, Earth		<reading>じょう</reading>	つち			じょう	つち								A <radical>dirt</radical> <radical>nurse</radical> is someone who nurses dirt. When nursed, dirt becomes <kanji>soil</kanji>.	Soil generally has more nutrients in it. It makes sense for dirt that's been nursed to become soil.	<kanji>Soil</kanji> is a thing <reading>Jou</reading>rm (<ja>じょう</ja>) the huge farmhand works on improving. If he makes the soil better, the farm will yield more crops.	Imagine Jourm working with soil (not dirt!). Improving it by mixing in various ingredients. The soil this year is particularly lush, for some reason...		7920	-	kanji Lesson_53
剰	Kanji	禾, 口, 刂	Grain, Mouth, Knife	radical, radical, radical	Surplus	Surplus		<reading>じょう</reading>	あまつさえ あま			じょう	あまつさえ, あま								There's so much <radical>grain</radical> in your <radical>mouth</radical> you need to use a <radical>knife</radical> to remove it. Only when there is a <kanji>surplus</kanji> can you put that much grain in your mouth.	Imagine seeing so much grain that you can stuff your mouth so full you can't swallow or spit it out. You have to use a knife to remove it. After you get all the grain out, comment on the surplus of grain.	The <kanji>surplus</kanji> is thanks to the hard work of folks like <reading>Jou</reading>rm (<ja>じょう</ja>) the big farmhand. He worked hard to make sure there was a surplus of grain this year.	Remember how Jourm made the soil better? Perhaps this is some of that work paying off. Thanks to that and everything else, there is a great surplus.		7921	-	kanji Lesson_53
浄	Kanji	氵, 争	Tsunami, Conflict	radical, radical	Cleanse, Purify	Cleanse, Purify		<reading>じょう</reading> <reading>せい</reading>	きよ			じょう, せい	きよ								<radical>Tsunami</radical> of <radical>conflict</radical> will <kanji>cleanse</kanji> and <kanji>purify</kanji> the lands of people, homes, and culture.	Anything less than a tsunami of conflict would leave something behind. But this much conflict will cleanse the area of everything.	"The <kanji>cleanse</kanji> of your lands was caused by <reading>Jou</reading>rm (<ja>じょう</ja>). Why did the slow farmhand bring an army to the village, and why is he yelling about, ""The cleanse,"" while destroying everything? Jourm?! Weren't we friends?"	"You thought Jourm was an ordinary, clumsy, ten foot tall farmhand. But he brought down a tsunami upon your village. And, he brought armed conflict too. This thing he calls ""The cleanse"" was actually something he had been planning for years. His use of a totally ordinary Viking mouth towel... his table made of foreheads... That tatami mat altar with the forehead wearing a top hat... Was he really a Viking pretending to be a simple farmhand just so he could bring his men inland to cleanse and purify your village? It's too late now. Jourm stands over your body. You are about to receive ""The cleanse"" too."		7922	-	kanji Lesson_53
舗	Kanji	舎, 甫	Cottage, Wedding	radical, radical	Shop, Store	Shop, Store		<reading>ほ</reading>				ほ									You want to have a quaint <radical>cottage</radical> <radical>wedding</radical>, so you have to go to the cottage wedding <kanji>shop</kanji> to get everything you need. This shop is the only place you can buy everything you need. It's not like you can make a cottage from scratch!	Picture yourself walking into the cottage wedding shop. Look at all the different cottages you get to choose from. And there's wedding cake too?! This shop has everything!	You're browsing everything in the <kanji>shop</kanji> when a garden <reading>hoe</reading> (<ja>ほ</ja>) catches your eye. Yes. This will make your cottage wedding the absolute best one. The hoe will give you away at your wedding.	Imagine walking around the shop and then falling in love with a hoe with pretty tassels and flowers attached to it. Yes, it's only for decoration, but you're going to buy and use it during your cottage wedding.		7923	-	kanji Lesson_53
騰	Kanji	月, <i class=radical-gladiator></i>, 馬	Moon, Gladiator, Horse	radical, radical, radical	Inflation	Inflation		<reading>とう</reading>	あが のぼ			とう	あが, のぼ								While the <radical>moon</radical> is out, a <radical>gladiator</radical> is riding a <radical>horse</radical>, yelling about <kanji>inflation</kanji>. No one would listen to him during the day, so he waited for the moon to rise so he could complain about prices doing the same.	"Picture the gladiator riding his horse in the light of the moon yelling, ""Do you have any idea how important it is to increase the average pay rate to account for inflation? All of us gladiators are going to be unable to pay the bills soon because inflation isn't being taken into account! You'll suffer too! Listen to me!"""	<kanji>Inflation</kanji> rises the most in <ja><reading>とう</reading>きょう</ja>, and the gladiator knows that because that's where most of them live and fight (and die).	Imagine if you were in this gladiator's place. In five years, you wouldn't be able to afford to eat thanks to the bosses in <ja>とうきょう</ja> refusing to adjust for inflation. Back in my day, onigiri only cost FIFteen yen!		7924	-	kanji Lesson_53
