疑	Radical				Doubt	Doubt															This radical is the same as the kanji. It means <radical>doubt</radical>.					8204	-	Lesson_55 radical
伏	Kanji	ｲ, 犬	Leader, Dog	radical, radical	Bow, Lay	Bow, Lay		<reading>ふく</reading>	ふ			ふく	ふ								When you meet the <radical>leader</radical> <radical>dog</radical> you have to <kanji>bow</kanji> to show your respect. Dogs are pretty great, so the leader of all dogs must be the greatest! You should bow really deeply to this one.	Picture yourself bowing to the leader dog. Leader dog is so cool!	"You <kanji>bow</kanji> as low as you can, but you lose your balance and fall over. ""<reading>F**k</reading> you (<ja>ふく</ja>)!"" the leader dog barks. Oh no. You messed up and now the leader dog is super mad. Saying f**k you is a little harsh for falling over though, you think."	Bow even deeper as the dog leader keeps barking what sounds like f**k you. You're pretty sure that's what he's saying at least... but maybe... maybe it's not.		8205	-	kanji Lesson_55
鎮	Kanji	金, 真	Gold, Reality	radical, radical	Tranquilize	Tranquilize		<reading>ちん</reading>	おさえ しず			ちん	おさえ, しず								The <radical>reality</radical> of <radical>gold</radical> is that it has the power to <kanji>tranquilize</kanji> anyone who gets their hands on it. Gold may seem cool to have in movies and songs, but in reality, it has the power to mess you up!	Imagine being tranquilized by the sweet caress of gold coins. You can't even move. You're in a daze or something.	You've been <kanji>tranquilize</kanji>d and now drool is running down your <reading>chin</reading> (<ja>ちん</ja>). It's actually really gross. But you don't care, look at all this gold! No one will care about your chin when you're rich!	If you let gold tranquilize you, you'll drool all over your own chin. Maybe the chins of other people too, who knows?		8206	-	kanji Lesson_55
奉	Kanji	<i class=radical-spring></i>, 干	Spring, Dry	radical, radical	Dedicate	Dedicate		<reading>ほう</reading> <reading>ぶ</reading>	たてまつ まつ ほう			ほう, ぶ	たてまつ, まつ, ほう								When <radical>spring</radical> is <radical>dry</radical> you need to <kanji>dedicate</kanji> your time and effort somewhere else. You can't plant flowers or vegetables, it's too dry. You can't play outside, your skin will flake. So you need to dedicate yourself to something inside.	You know how you get. When you can't go outside, you dedicate yourself full force into something else. I mean, you made it to level 55, right? That's some serious dedication. And it probably started because of one particularly dry spring.	You decide to <kanji>dedicate</kanji> yourself to your <reading>ho</reading>me (<ja>ほう</ja>). You don't want to be outside in the dry spring air, so you focus on home activities. You can clean the kitchen, build a shelf, or dedicate your time to your home internet system.	Dedicate yourself to doing things in your home! Haha, who are we kidding, you already did that.  We love you, nerd. ♡		8207	-	kanji Lesson_55
憂	Kanji	百, 冖, 心, 夂	Hundred, Forehead, Heart, Winter	radical, radical, radical, radical	Grief	Grief		<reading>ゆう</reading>	う うれ			ゆう	う, うれ								A <radical>hundred</radical> <radical>forehead</radical>s lower themselves to their <radical>heart</radical>s in <radical>winter</radical> in <kanji>grief</kanji>. There were once many of their kind, the forehead peoples, but now there are only a hundred left after this harsh winter took the rest of them. Their grief is immense.	Imagine if winter was so brutal that there were only one hundred human foreheads left. You lost all of your friends and family. Feel that grief.	Their <kanji>grief</kanji> intensifies because all of the foreheads they lost belonged to <reading>you</reading>ths (<ja>ゆう</ja>). Dead youths everywhere. Now there's no one left to repopulate the world.	Grief for youths is so painful. No one should have to bury their forehead child.		8208	-	kanji Lesson_55
朴	Kanji	木, ト	Tree, Toe	radical, radical	Simple, Crude	Simple, Crude		<reading>ぼく</reading>	えのき ほう ほお			ぼく	えのき, ほう, ほお								You decide to carve a <radical>tree</radical> into a giant replica of your big <radical>toe</radical> because you think it will be really <kanji>simple</kanji>. Once you're done though, it looks like a really <kanji>crude</kanji> attempt at a fat, lumpy blob. Maybe carving isn't as simple as you thought.	Imagine carving a really simple, crude toe from a tree. It's your first attempt, so I guess you should have known it wouldn't be great.	"You're admiring your <kanji>simple</kanji> looking toe tree when a lumberjack runs up and asks who created it. <ja><reading>ぼく</reading></ja>, you say. As in ""I"" said it, in a manly dude, way. He doesn't seem to believe you, so you say it a few more times. <ja>ぼく</ja> <ja>ぼく</ja> <ja>ぼく</ja>!"	Who carved this simple toe? <ja>ぼく</ja>!		8209	-	kanji Lesson_55
栃	Kanji	木, 厂, 万	Tree, Cliff, Ten Thousand	radical, radical, radical	Horse Chestnut	Horse Chestnut			<reading>とち</reading>			とち									You see a <radical>tree</radical> growing on a <radical>cliff</radical> and it has <radical>ten thousand</radical> <kanji>horse chestnut</kanji>s growing on it. These trees are rare, only grow on cliffs, and they always have exactly ten thousand horse chestnuts on each one. 	Picture this tree, weighed down by it's own horse chestnuts, leaning over the edge of the cliff.	You decide to take a bite of a <kanji>horse chestnut</kanji> because it looks yummy, and there are ten thousand, so it's not like anyone will notice. You crack it open and take a nice big bite to find out that it tastes like <reading>toe chee</reading>se (<ja>とち</ja>)! UHG! It's the worst thing you've ever tasted. Like hot, moldy toe cheese! Ewwww! 	Horse chestnuts taste like nasty toe cheese. Imagine what having one in your mouth would be like. 		8210	-	kanji Lesson_55
惜	Kanji	忄, 昔	Soul, Long Ago	radical, radical	Frugal	Frugal		<reading>せき</reading>	お			せき	お								Your <radical>soul</radical> <radical>long ago</radical> was very <kanji>frugal</kanji>, which is why you get to have too much in this life!	Thank you soul, for being frugal so that I can have so much now.	You know what being <kanji>frugal</kanji> is? <reading>Sexy</reading> (<ja>せき</ja>). You save money, you use less resources, that's the sexiest thing I can think of.	If you want your spouse or S.O. to think you're more sexy, just be more frugal. They'll definitely appreciate it and see you in a different light.		8211	-	kanji Lesson_55
佳	Kanji	ｲ, 土	Leader, Dirt	radical, radical	Excellent, Skilled	Excellent, Skilled		<reading>か</reading>				か									A <radical>leader</radical> gets double the <radical>dirt</radical> to build on if he's the most <kanji>excellent</kanji> and most <kanji>skilled</kanji> of all the leaders. You don't think dirt is so great? Well what if I took the dirt you own away from you? Your house is on that dirt. It's mine now. Get outta here.	Imagine being so excellent at leading, that you get double the dirt that everyone else gets.	This <kanji>excellent</kanji> leader is going to use all this dirt to store her excellent <reading>ca</reading>rs (<ja>か</ja>)! Excellent people have to have cars in equal or greater than excellent-ness than themselves.	Imagine your own car. Is it as excellent as you?		8212	-	kanji Lesson_55
悼	Kanji	忄, ト, 早	Soul, Toe, Early	radical, radical, radical	Grieve, Mourn	Grieve, Mourn		<reading>とう</reading>	いた			とう	いた								The <radical>soul</radical> in your <radical>toe</radical> leaves <radical>early</radical>. You <kanji>grieve</kanji> and <kanji>mourn</kanji> for your now-dead toe.	Look at your toe. It has no soul. It's dark and shriveled, like a mummy's toe. Grieve and watch your tears drip onto it.	You decide to <kanji>grieve</kanji> in <ja><reading>とう</reading>きょう</ja>. Your toe always wanted to walk in <ja>とうきょう</ja>, and now you can at least fulfill its dying wish.	Walk through the streets of <ja>とうきょう</ja> grieving, with your dead toe flopping onto the pavement.		8213	-	kanji Lesson_55
該	Kanji	言, 亥	Say, Slice	radical, radical	The Above, That Specifically	The Above, That Specifically		<reading>がい</reading>				がい									You want to <radical>slice</radical> what you <radical>say</radical> in half so that people focus on <kanji>the above</kanji> text first. The above is what you want them to see! So slice what you say!	Imagine actually slicing the words you say in the air. The above section is what you want people to pay attention to, so you slice a big gap between the above and the below words.	As you focus on <kanji>the above</kanji> words you realize a <reading>guy</reading> (<ja>がい</ja>) is trying to push the rest of the things you're saying back up with the rest of them. No! The above text is all that matters! Go away guy!	That guy doesn't care if the above is all he's supposed to hear. That guy sucks.		8214	-	kanji Lesson_55
