Level	Symbol	Meaning	Radical Component Name	Radical Component Symbol	Meaning Mnemonic	Reading Onyomi	Reading Kunyomi	Reading Nanori	Reading Whitelist	Reading Mnemonic
59	睦	Friendly	Eye,Womb	目,坴	"If you see someone <radical>eye</radical>ing your <radical>womb</radical> you're probably going to be weirded out by how <kanji>friendly</kanji> they're acting. You only let people who are really, really close to you look at your womb. So if this guy is acting that friendly he should have introduced himself first.<br><br>

- Hint: Imagine having someone you aren't friendly with trying to have a look at your womb. No thank you."	<reading><jp>ぼく, もく</jp></reading>	<jp>むつ</jp>	None	ぼく, もく	"This <kanji>friendly</kanji> guy comes up to you and start to introduce himself, ""<reading><jp>ぼく</jp></reading>-"" but you stop him. He's been getting way too friendly with your womb and you don't want to hear who he is. He can <jp>ぼく</jp> at someone else, you're out.<br><br>

- Hint: Imagine only letting this guy start to introduce himself with <jp>ぼく</jp> before walking the heck outta there. Just because he was acting friendly doesn't mean he was actually your friend."
59	擬	Imitate	Fingers,Doubt	扌,疑	"You try to use your <radical>fingers</radical> to cast <radical>doubt</radical> on people by using them to <kanji>imitate</kanji> each other. Right now you're using your fingers as finger puppets, imitating one of your friends to the others.<br><br>

- Hint: Picture your angry friend standing up next to your fingers, shouting, ""I'm the real me! That's just an imitation!"" The rest of your friends look nervously at each other. They doubt this person is real now."	<reading><jp>ぎ</jp></reading>	<jp>まが, もど</jp>	None	ぎ	"Everyone thinks the friend you were trying to <kanji>imitate</kanji> is the imitation now and they have them in a <reading>gui</reading>llotine (<jp>ぎ</jp>). You even doubt if they're an imitation or if your fingers are the imitation.<br><br>

- Hint: Okay, so that's a lie, Your fingers are definitely imitating them, but you don't want to end up in the guillotine so you keep your mouth shut."
59	屯	Barracks	Barracks	屯	"The <radical>barracks</radical> radical and the <kanji>barracks</kanji> kanji are the same!<br><br>

- Hint: Know your radicals, yo!"	<reading><jp>とん</jp></reading>	None	None	とん	"<kanji>Barracks</kanji> are pretty big, so they weigh a <reading>ton</reading> (<jp>とん</jp>). And they probably take tons of materials to build.<br><br>

- Hint: Imagine trying to lift some barracks. They weigh a ton! How are you supposed to do this? Why would you even try to lift something that obviously weighs a couple tons?!"
59	紡	Spinning,Spin	Thread,Direction	糸,方	"Move <radical>thread</radical> in the right <radical>direction</radical> and you'll end up <kanji>spinning</kanji> it into yarn. Then you can spin that yarn into a sweater or a scarf with your favorite half tofu half fugu mascot on it!<br><br>

- Hint: Imagine spinning thread into whatever your imagination wants."	<reading><jp>ぼう</jp></reading>	<jp>つむ</jp>	None	ぼう	"While you're <kanji>spinning</kanji> you realize that you've always wanted to make your own <reading>bow</reading>ling (<jp>ぼう</jp>) ball. And bowling ball cover. And bowling ball shoes.<br><br>

- Hint: Picture all of these thread-made bowling items. You're a really big bowling fan, huh?"
59	岬	Cape	Mountain,Turtle Shell	山,甲	"You see a <radical>mountain</radical> in the shape of a <radical>turtle shell</radical> sticking out into the ocean. It's a <kanji>cape</kanji>! No, not the kind you wear, the geographical kind. When you're on land, most capes look like turtle shell mountains sticking out into the sea. Do you know any capes like that near where you live?<br><br>

- Hint: Picture the turtle shell shaped cape. Feel the salty wind in your hair!"	<jp>こう</jp>	<reading><jp>みさき</jp></reading>	None	みさき	"You decide to walk along this <kanji>cape</kanji> because it looks like the perfect place to get rid of your old <reading>me</reading>at <reading>sack</reading> (<jp>みさき</jp>). It's starting to smell, but the ocean breeze from the cape pulls the meat sack out of your hands and off into the sky (then probably into the sea too).<br><br>

- Hint: The next time you go to the cape, remember to bring your old, used meat sack. You can toss it right into the ocean and it won't bother you ever again! Just make sure no one sees you."
59	崇	Worship,Revere	Mountain,Roof,Jackhammer	山,宀,示	"Under the <radical>mountain</radical>'s <radical>roof</radical> are people using <radical>jackhammer</radical>s to <kanji>worship</kanji> the gods. The noise from their jackhammering echos up through the mountain and up toward the sky where the gods live. As long as each person uses their own jackhammer, the sound will be loud enough to reach them.<br><br>

- Hint: Man your own jackhammer! (And worship the gods.)"	<reading><jp>すう</jp></reading>	<jp>あが</jp>	None	すう	"Unfortunately, the people who live around here can also hear you and the others <kanji>worship</kanji> in the mountain and they're going to <reading>sue</reading> (<jp>すう</jp>) you for the noise. <br><br>

- Hint: You try to argue that you can't sue someone for the way they choose to worship, but they say they're all deaf now, all the animals have gone, and no one sleeps anymore because of the shaking. Yikes, they might have a case!"
57	紺	Navy,Dark Blue	Thread,Sweet	糸,甘	"If you want to turn your <radical>thread</radical> into a <radical>sweet</radical> color you just HAVE to go with <kanji>navy</kanji> or <kanji>dark blue</kanji>. That's the sweetest color in existence, everyone knows that. After all, blue raspberry flavor is dark blue and it's super sweet.<br><br>

- Hint: Turn your thread a sweet navy color and people will be reminded of yummy blue raspberry. MmMmm."	<reading><jp>こん</jp></reading>	None	None	こん	"Now that your threads are <kanji>navy</kanji> colored you need to be careful that <reading>con</reading>dors (<jp>こん</jp>) don't try to steal it for their nests. Condors love <kanji>dark blue</kanji> things and thread is perfect for a condor nest.<br><br>

- Hint: Imagine a condor stealing your sweet navy thread right after you dyed it, flying off. Lame!"
57	伐	Fell,Attack	Leader,Drunkard	ｲ,戈	"If the <radical>leader</radical> of your gang is a <radical>drunkard</radical> he'll try to have you <kanji>fell</kanji> trees thinking they're rival gang members. You all know they aren't but you can't argue with your leader, especially if he's drunk. Go ahead and <kanji>attack</kanji> the trees anyway.<br><br>

- Hint: Imagine felling trees with a bunch of other guys, yelling things like, ""This is what you get for stepping on my turf!"" It's a little silly."	<reading><jp>ばつ</jp></reading>	<jp>う, き, そむ</jp>	None	ばつ	"As you <kanji>attack</kanji> the innocent trees with your chains and sticks, a bunch of <reading>bats</reading> (<jp>ばつ</jp>) come flying out and attack YOU! You have your own kind of bats so now you're all trying to fell the bats with YOUR bats!<br><br>

- Hint: Bats attacking bats. Who will win on this season of Survivor?"
57	腸	Intestines	Moon,Easy	月,易	"The <radical>moon</radical> is <radical>easy</radical> tonight, so you decide to cut it open. But, the moon wasn't the moon, it was your big, pale, round tummy. You just cut it open, and now you can see your <kanji>intestines</kanji>.<br><br>

- Hint: Imagine the moon, then imagine it cross-fading into your big, round tummy. Then, cut it open because you think the moon is easy to cut. And finally, see your intestines as clearly as you can."	<reading><jp>ちょう</jp></reading>	<jp>はらわた</jp>	None	ちょう	"All over the world, people are cutting their bellies open, because they think its an easy moon (versus a normal moon, or hard moon, presumably). This is because they have fallen victim to a spell by Mrs. <reading>Chou</reading> (<jp>ちょう</jp>).<br><br>

- Hint: This scene was in all the omen radicals you've been seeing about her. If only you could have stopped her, then none of this would have happened, right? Perhaps it was all destiny, you think, as your intestines fall from your stomach and Mrs. Chou cackles over your weakening body."
57	旋	Rotation,Revolution	Direction,Gun,Coat Rack	"方,<i class=""radical-gun""></i>,疋"	"Move your <radical>coat rack</radical> in one <radical>direction</radical> by shooting it with a <radical>gun</radical>. Then you can keep shooting it to get a good <kanji>rotation</kanji> going. If you think there is a better way to make your coat rack make <kanji>revolution</kanji>s, you're probably wrong. <br><br>

- Hint: Imagine getting your coat rack to make rotations in a circle just by shooting it with a gun!"	<reading><jp>せん</jp></reading>	None	None	せん	"As you watch your coat rack's <kanji>rotation</kanji>s a <reading>cen</reading>taur (<jp>せん</jp>) barges in and takes the gun from you, stops the rotating coat rack and leaves. How rude! I guess centaurs don't like when things rotate.<br><br>

- Hint: Picture that centaurs angry face. Convince yourself it was the rotation it didn't like."
