Level	Symbol	Meaning	Kanji Component Name	Kanji Component Symbol	Meaning Mnemonic	Word Type	Reading	Reading Whitelist	Reading Mnemonic	Reading Audio Male	Reading Audio Female	Context 1-EN	Context 1-JP	Context 2-EN	Context 2-JP	Context 3-EN	Context 3-JP	Context 4-EN	Context 4-JP
45	近頃	Lately,Recently	近,頃	Near,Approximate	The <kanji>near</kanji> <kanji>approximate</kanji> is the approximate time that was near to you. This period of time is the <vocabulary>lately</vocabulary> period of time. It's <vocabulary>recently</vocabulary>.	noun	<reading><jp>ちかごろ</jp></reading>	ちかごろ	The reading is <jp>近い</jp> and <jp>頃</jp> put together.	[sound:Vocab-ちかごろ-Male.mp3]	[sound:Vocab-ちかごろ-Female.mp3]	Recently I’ve been working the graveyard shift in a confectionery factory.	<jp>近頃は製菓工場で夜勤の仕事をしているんだ。</jp>	None	None	None	None	None	None
15	寺	Temple	寺	Temple	The kanji and the word are exactly the same. That means they share meanings as well.	noun	<reading><jp>てら</jp></reading>	てら	The reading is the same as the kanji too! You must have been praying to the kanji Gods at the local <jp>お寺</jp>.	[sound:Vocab-てら-Male.mp3]	[sound:Vocab-てら-Female.mp3]	Apparently, the body of someone who died accidentally was found at the temple last night.	<jp>昨夜、あのお寺で変死体が発見されたらしいよ。</jp>	I lived next to a temple when I was a child and it was really convenient for studying Buddhism.	<jp>子どものころ、寺のとなりに住んでいたので、仏教の勉強には大変都合が良かったんです。</jp>	I held a birthday party at one of the local temples in Japan. We got kicked out pretty quickly. I should have known that a temple wasn’t a good place to have a rock concert.	<jp>日本の地元のお寺で誕生日会を開いたんだけど、すぐに追い出されちゃった。お寺ってロック・コンサートをやる場所じゃないってこと、知っておけばよかったんだけど。</jp>	None	None
55	栃木県	Tochigi Prefecture	栃,木,県	Horse Ches...,Tree,Prefecture	The <kanji>prefecture</kanji> with lots of <kanji>horse chestnut</kanji> <kanji>tree</kanji>s is <vocabulary>Tochigi prefecture</vocabulary>.	noun	<reading><jp>とちぎけん</jp></reading>	とちぎけん	This word consists of the kun'yomi readings for <jp>栃</jp> and <jp>木</jp> and the on'yomi for <jp>県</jp>, like most with prefectures. As long as you remember that <jp>き</jp> is changed to <jp>ぎ</jp> here, you should be able to remember this reading easily!	[sound:Vocab-とちぎけん-Male.mp3]	[sound:Vocab-とちぎけん-Female.mp3]	Are you from Tochigi Prefecture?	<jp>栃木県の出身なんですか？</jp>	None	None	None	None	None	None
6	姉	Older Sister,Big Sister,Elder Sister	姉	Older Sister	The kanji and the word are exactly the same. That means they share meanings as well. This is your older sister, by the way. Not somebody else's.	noun	<reading><jp>あね</jp></reading>	あね	"Since this word is made up of a single kanji, it should use the kun'yomi reading. You haven't learned this reading yet,  so here's a mnemonic to help you remember:

Picture your <vocabulary>older sister</vocabulary> (even if you don't have one), her birthday is coming up and there's only one thing she wants from you. <reading>A ne</reading>cklace (<jp>あね</jp>). She's wanted a necklace for years and you're finally going to give her one. She'll be so happy."	[sound:Vocab-あね-Male.mp3]	[sound:Vocab-あね-Female.mp3]	I’m just about to go to my older sister’s house.	<jp>姉のいえに行くところです。</jp>	I have five times as many books as my older sister does.	<jp>わたしは、姉の五ばいのりょうの本をもっています。</jp>	My big sister works as a stewardess.	<jp>姉はスチュワーデスをしています。</jp>	None	None
50	無駄	Futility,Uselessness,Pointlessness	無,駄	Nothing,Burdensome	<kanji>Nothing</kanji> but <kanji>burdensome</kanji>. That's all you get out of doing this task. The <vocabulary>futility</vocabulary> of it is ridiculous. The <vocabulary>uselessness</vocabulary> is huge.	noun,な adjective	<reading><jp>むだ</jp></reading>	むだ	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-むだ-Male.mp3]	[sound:Vocab-むだ-Female.mp3]	Just saying it is useless. Fugu never listens to advice.	<jp>言うだけ無駄だよ。フグは決して忠告には耳を貸さないんだから。</jp>	None	None	None	None	None	None
45	遠距離	Long Distance	遠,距,離	Far,Distance,Detach	"A <kanji>far</kanji> <kanji>distance</kanji> <kanji>detach</kanji>ment is a distance that is far. It is <vocabulary>long distance</vocabulary>. Also remember that <jp>距離</jp> is a ""distance"" so a far distance is a <vocabulary>long distance</vocabulary>."	noun,の adjective	<reading><jp>えんきょり</jp></reading>	えんきょり	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-えんきょり-Male.mp3]	[sound:Vocab-えんきょり-Female.mp3]	In Japan, having a long distance commute to school or work is pretty common.	<jp>日本では、遠距離通学や遠距離通勤はよくあることです。</jp>	None	None	None	None	None	None
15	時計	Watch,Clock	時,計	Time,Measure	A thing that gives you <kanji>time</kanji> <kanji>measurement</kanji>s is a <vocabulary>watch</vocabulary> or <vocabulary>clock</vocabulary>. Most people have these in their phones instead of on their wrists now.	noun	<reading><jp>とけい</jp></reading>	とけい	The reading for this is pretty weird. <jp>計</jp> is all nice and normal, but <jp>時</jp> is <jp>と</jp> for some reason. It probably is coming from the vocab word <jp>時</jp> (<jp>とき</jp>), is my guess. But even if it is, it's shortened, making it a step more complicated. Maybe it's just better to imagine that your <vocabulary>watch</vocabulary> is a walky <reading>talky</reading> (<jp>とけい</jp>) and run with that?	[sound:Vocab-とけい-Male.mp3]	[sound:Vocab-とけい-Female.mp3]	Koichi dropped the clock Viet had given him from the ship.	<jp>コウイチはビエトにもらった時計を船から落としてしまいました。</jp>	We're gonna meet at the clock tower at 3 p.m., okay?	<jp>時計台の下で、三時に待ち合わせね！</jp>	Hey, isn’t that spit on your watch?	<jp>ねぇ、あなたの時計に唾が着いてない？</jp>	None	None
5	一回	One Time,Once	一,回	One,Times	<kanji>One</kanji> <kanji>times</kanji> is <vocabulary>one time</vocabulary>. How many times? Just one.	noun	<reading><jp>いっかい</jp></reading>	いっかい	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as well. Take note that <jp>一</jp> is shortened (as it often is) to <jp>いっ</jp>.	[sound:Vocab-いっかい-Male.mp3]	[sound:Vocab-いっかい-Female.mp3]	Please say it once more.	<jp>もう一回、言ってください。</jp>	I take a shower once a day during the week, but not at all over the weekend.	<jp>平日は一日に一回シャワーをあびますが、休日はぜんぜんあびません。</jp>	Do you want it one more time, honey?	<jp>もう一回欲しいのかい、ハニー？</jp>	None	None
56	裁縫	Sewing,Needlework	裁,縫	Judge,Sew	<kanji>Sew</kanji> so well that people will <kanji>judge</kanji> you to be the best and you'll be a champion at <vocabulary>sewing</vocabulary>!	noun,する verb	<reading><jp>さいほう</jp></reading>	さいほう	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-さいほう-Male.mp3]	[sound:Vocab-さいほう-Female.mp3]	Sewing really isn’t my strong point.	<jp>裁縫はあまり得意ではありません。</jp>	None	None	None	None	None	None
5	走る	To Run	走	Run	This word consists of kanji with hiragana attached. Because the hiragana ends with an <jp>う</jp> sound, you know this word is a verb. The kanji itself means <kanji>run</kanji> so now you know the verb version of that is <vocabulary>to run</vocabulary>.	intransitive verb,godan verb	<reading><jp>はしる</jp></reading>	はしる	"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you: 

You have to remember the <jp>はし</jp> portion. Think of yourself running. It's nice. As you run, though, you notice the ground changing into something weird and mushy. Everything is turning into <reading>hash</reading> (<jp>はし</jp>) browns. You start to get sucked in, and soon you can't run anymore. Smell the hash browns and taste them too. What a terrible run this was."	[sound:Vocab-はしる-Male.mp3]	[sound:Vocab-はしる-Female.mp3]	I ran because I was almost late for the movie.	<jp>えいがにおくれそうだったので、走りました。</jp>	Koichi can run faster than a turtle.	<jp>コウイチはカメよりもはやく走れる。</jp>	I’ve come to the conclusion that having my head cut off by a samurai would be much worse than running for my life.	<jp>人生走り続けるより、侍に首をはねられる方がずっとましだという結論に達しました。</jp>	None	None
56	所轄	Jurisdiction	所,轄	Place,Control	If you <kanji>place</kanji> <kanji>control</kanji> on someone you're giving them <vocabulary>jurisdiction</vocabulary> over whatever that thing is.	noun,する verb,の adjective	<reading><jp>しょかつ</jp></reading>	しょかつ	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-しょかつ-Male.mp3]	[sound:Vocab-しょかつ-Female.mp3]	Anyway, let’s get in contact with the police station with jurisdiction first. 	<jp>とにかく、まずは所轄の警察署に連絡をいれましょう。</jp>	None	None	None	None	None	None
33	異性	Different Gender,Opposite Sex	異,性	Differ,Gender	Someone who <kanji>differ</kanji>s in <kanji>gender</kanji> from you is of a <vocabulary>different gender</vocabulary>. This is often used to mean the <vocabulary>opposite sex</vocabulary> in the sense of men as viewed by women and vice versa.	noun,の adjective	<reading><jp>いせい</jp></reading>	いせい	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-いせい-Male.mp3]	[sound:Vocab-いせい-Female.mp3]	When I first learned about share houses, I thought it would be impossible for strangers of different genders to live together.	<jp>シェアハウスについて初めて知った時、知らない異性同士が暮らすなんてありえないと思いました。</jp>	Today, I talked to a person of the opposite sex for longer than usual.	<jp>今日は異性といつもより長く話しをしました。</jp>	Mika, you are too conscious of boys' muscles.	<jp>美果は、異性の筋肉を意識しすぎてるんだって。</jp>	None	None
24	境	Boundary	境	Boundary	The kanji and the word are exactly the same. That means they share meanings as well.	noun	<reading><jp>さかい</jp></reading>	さかい	Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you to remember: You walk up to the boundary. You're there to pick something up to take it across. This thing you're smuggling across the boundary is a <reading>sockeye</reading> (<jp>さかい</jp>) salmon. You take it across the boundary and sell it for a big profit.	[sound:Vocab-さかい-Male.mp3]	[sound:Vocab-さかい-Female.mp3]	This river forms the boundary between the two states.	<jp>この川がちょうど両州の境となっているんですよ。</jp>	None	None	None	None	None	None
56	錯覚	Illusion,Optical Illusion	錯,覚	Mixed,Memorize	You thought you <kanji>memorize</kanji>d what this picture looked like, but suddenly everything looks <kanji>confused</kanji> and different. That's because it's an <vocabulary>illusion</vocabulary>.	noun,する verb,の adjective	<reading><jp>さっかく</jp></reading>	さっかく	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-さっかく-Male.mp3]	[sound:Vocab-さっかく-Female.mp3]	I was assailed by an illusion that looked just like me.	<jp>それがまるで自分のもののような錯覚に襲われたんです。</jp>	None	None	None	None	None	None
56	交錯	Mixture,Blending,Complication	交,錯	Mix,Mixed	You <kanji>confused</kanji> all of the ingredients to your cake by <kanji>mix</kanji>ing them together into one weird <vocabulary>mixture</vocabulary>.	noun,する verb	<reading><jp>こうさく</jp></reading>	こうさく	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-こうさく-Male.mp3]	[sound:Vocab-こうさく-Female.mp3]	Various emotions were mixed and we weren’t able to reach a conclusion.	<jp>色々な感情が交錯し、結論を出せずにいました。</jp>	None	None	None	None	None	None
33	編集する	To Edit	編,集	Knit,Collect	<jp>編集</jp> is <kanji>edit</kanji>, so the verb version is <vocabulary>to edit</vocabulary>.	する verb	<reading><jp>へんしゅうする</jp></reading>	へんしゅうする	This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.	[sound:Vocab-へんしゅうする-Male.mp3]	[sound:Vocab-へんしゅうする-Female.mp3]	I’m editing a document summary in the office right now.	<jp>今オフィスで資料の要約を編集しているところよ。</jp>	None	None	None	None	None	None
28	逆効果	Opposite Effect	逆,効,果	Reverse,Effective,Fruit	"<jp>効果</jp> is ""effect,"" so the <kanji>opposite</kanji> of said effect is the <vocabulary>opposite effect</vocabulary>. Whoops!"	noun	<reading><jp>ぎゃくこうか</jp></reading>,<reading><jp>ぎゃっこうか</jp></reading>	ぎゃくこうか,ぎゃっこうか	This is a jukugo word, which usually means on'yomi readings from the kanji. If you know the readings of your kanji you'll know how to read this as  well. Will help to know <jp>効果</jp> as well.	[sound:Vocab-ぎゃくこうか-Male.mp3],None	[sound:Vocab-ぎゃくこうか-Female.mp3],None	I kissed that other girl to make my girlfriend jealous, but it really backfired.	<jp>彼女に焼き餅を妬かせようとして他の女にキスをしたら、全く逆効果になってしまった。</jp>	None	None	None	None	None	None
