Level	Kanji	KanjiStroke	Meaning	Type	DO NOT CHANGE	Tags
13	願	"<img src=""09858.svg"">"	Request	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L0
26	刺	"<img src=""0523a.svg"">"	Stab	Kanji Drawing	-	Kanji_Drawing Level_26 Genki_L0
13	士	"<img src=""058eb.svg"">"	Samurai	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L1
16	係	"<img src=""04fc2.svg"">"	Connection	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L1
16	治	"<img src=""06cbb.svg"">"	Cure, Heal, Reign, Rule	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L1
16	弁	"<img src=""05f01.svg"">"	Dialect, Speech	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L1
16	政	"<img src=""0653f.svg"">"	Politics, Government	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L1
16	関	"<img src=""095a2.svg"">"	Related, Connected	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L1
16	専	"<img src=""05c02.svg"">"	Specialty	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L1
18	類	"<img src=""0985e.svg"">"	Type, Category, Kind	Kanji Drawing	-	Kanji_Drawing Level_18 Genki_L1
19	歴	"<img src=""06b74.svg"">"	Continuation	Kanji Drawing	-	Kanji_Drawing Level_19 Genki_L1
19	史	"<img src=""053f2.svg"">"	History	Kanji Drawing	-	Kanji_Drawing Level_19 Genki_L1
21	済	"<img src=""06e08.svg"">"	Come To An End	Kanji Drawing	-	Kanji_Drawing Level_21 Genki_L1
21	際	"<img src=""0969b.svg"">"	Occasion	Kanji Drawing	-	Kanji_Drawing Level_21 Genki_L1
23	護	"<img src=""08b77.svg"">"	Defend	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L1
23	師	"<img src=""05e2b.svg"">"	Teacher, Expert, Master	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L1
23	看	"<img src=""0770b.svg"">"	Watch Over	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L1
28	攻	"<img src=""0653b.svg"">"	Aggression	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L1
28	婦	"<img src=""05a66.svg"">"	Wife	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L1
29	韓	"<img src=""097d3.svg"">"	Korea	Kanji Drawing	-	Kanji_Drawing Level_29 Genki_L1
11	便	"<img src=""04fbf.svg"">"	Convenience, Convenient	Kanji Drawing	-	Kanji_Drawing Level_11 Genki_L2
12	消	"<img src=""06d88.svg"">"	Extinguish	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L2
16	辞	"<img src=""08f9e.svg"">"	Quit, Word	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L2
19	布	"<img src=""05e03.svg"">"	Cloth	Kanji Drawing	-	Kanji_Drawing Level_19 Genki_L2
19	財	"<img src=""08ca1.svg"">"	Wealth	Kanji Drawing	-	Kanji_Drawing Level_19 Genki_L2
26	鉛	"<img src=""0925b.svg"">"	Lead	Kanji Drawing	-	Kanji_Drawing Level_26 Genki_L2
26	郵	"<img src=""090f5.svg"">"	Mail, Post	Kanji Drawing	-	Kanji_Drawing Level_26 Genki_L2
26	筆	"<img src=""07b46.svg"">"	Writing Brush	Kanji Drawing	-	Kanji_Drawing Level_26 Genki_L2
27	靴	"<img src=""09774.svg"">"	Shoes	Kanji Drawing	-	Kanji_Drawing Level_27 Genki_L2
28	傘	"<img src=""05098.svg"">"	Umbrella	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L2
29	板	"<img src=""0677f.svg"">"	Board	Kanji Drawing	-	Kanji_Drawing Level_29 Genki_L2
31	菜	"<img src=""083dc.svg"">"	Vegetable	Kanji Drawing	-	Kanji_Drawing Level_31 Genki_L2
32	机	"<img src=""0673a.svg"">"	Desk	Kanji Drawing	-	Kanji_Drawing Level_32 Genki_L2
33	窓	"<img src=""07a93.svg"">"	Window	Kanji Drawing	-	Kanji_Drawing Level_33 Genki_L2
34	紅	"<img src=""07d05.svg"">"	Deep Red, Crimson	Kanji Drawing	-	Kanji_Drawing Level_34 Genki_L2
47	帽	"<img src=""05e3d.svg"">"	Hat	Kanji Drawing	-	Kanji_Drawing Level_47 Genki_L2
13	然	"<img src=""07136.svg"">"	Nature	Kanji Drawing	-	Kanji_Drawing Level_13 Genki_L3
