Level	Kanji	Meaning	Meaning Elements	Radical Components	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
13	願	Request	"<p class=""element-item primary""> Request </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>原</jp-symbol></span><p>Original</p></radical><radical class=""component""><span><jp-symbol>頁</jp-symbol></span><p>Geoduck</p></radical></div>"	The <radical>original</radical> <radical>geoduck</radical> had a <kanji>request</kanji>. He wants there to be more geoducks in the world!<br><br>  - Hint: Remember, this is the OG = original geoduck. There are no other geoducks yet.	Kanji Meaning	-	Kanji_Meaning Level_13 Genki_L0
26	刺	Stab	"<p class=""element-item primary""> Stab </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical><radical class=""component""><span><jp-symbol>冂</jp-symbol></span><p>Head</p></radical><radical class=""component""><span><jp-symbol>刂</jp-symbol></span><p>Knife</p></radical></div>"	There is a <radical>head</radical> pinned to a <radical>tree</radical> by a <radical>knife</radical>. This person has been <kanji>stab</kanji>bed! They were stabbed so hard that they were pinned to the tree here.<br><br>  - Hint: Imagine how much force you would need to stab someone to have the knife and go all the way through them and pin their head to a tree. That's a lot of force.	Kanji Meaning	-	Kanji_Meaning Level_26 Genki_L0
13	士	Samurai	"<p class=""element-item primary""> Samurai </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>士</jp-symbol></span><p>Samurai</p></radical></div>"	The <radical>samurai</radical> radical and the <kanji>samurai</kanji> kanji are the same!<br><br>  - Hint: Know your radicals, yo!	Kanji Meaning	-	Kanji_Meaning Level_13 Genki_L1
16	係	Connection	"<p class=""element-item primary""> Connection </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>一</jp-symbol></span><p>Ground</p></radical><radical class=""component""><span><jp-symbol>糸</jp-symbol></span><p>Thread</p></radical></div>"	A psychic <radical>leader</radical> can pick a <radical>thread</radical> up off the <radical>ground</radical> and make a <kanji>connection</kanji> with the person that it came from. This leader is very powerful, so even a thread is enough for them to make a psychic connection with the person who was wearing the thread.<br><br>  - Hint: Imagine you are this leader and you just picked up this piece of thread from the ground. You get a jarring psychic connection with the owner of the thread. Your head spins, your heart races, and your hands tremble. Picture this happening to you as you pick up the thread from the ground.	Kanji Meaning	-	Kanji_Meaning Level_16 Genki_L1
16	治	Cure,Heal,Reign,Rule	"<p class=""element-item primary""> Cure </p>,<p class=""element-item""> Heal </p>,<p class=""element-item""> Reign </p>,<p class=""element-item""> Rule </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol>台</jp-symbol></span><p>Machine</p></radical></div>"	After a <radical>tsunami</radical>, use this <radical>machine</radical> to <kanji>cure</kanji> the people and the country from the damage. <kanji>Heal</kanji>ing machines are all over Japan just in case a tsunami does way more damage than they can handle. <br><br>  Oh, and whoever cures and heals the most people will be able to <kanji>rule</kanji> over them once everything starts going back to normal. So keep that in mind, kay?<br><br>  - Hint: Imagine if you had your own machine to cure yourself if a tsunami came to where you live. It would be pretty convenient!	Kanji Meaning	-	Kanji_Meaning Level_16 Genki_L1
16	弁	Dialect,Speech	"<p class=""element-item primary""> Dialect </p>,<p class=""element-item""> Speech </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ム</jp-symbol></span><p>Private</p></radical><radical class=""component""><span><jp-symbol>廾</jp-symbol></span><p>Twenty</p></radical></div>"	If you listened in to the <radical>private</radical> lives of <radical>twenty</radical> people, all of them would have different <kanji>dialect</kanji>s and ways of <kanji>speech</kanji>. Whether they actually use these dialects with you is another story. But when they're alone, or with other people who are from the same place, their speech will be different.<br><br>  - Hint: Can you even imagine twenty different dialects in your head? Well I can tell you that there are definitely at least twenty of them in Japan alone.	Kanji Meaning	-	Kanji_Meaning Level_16 Genki_L1
16	政	Politics,Government	"<p class=""element-item primary""> Politics </p>,<p class=""element-item""> Government </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>正</jp-symbol></span><p>Correct</p></radical><radical class=""component""><span><jp-symbol>夂</jp-symbol></span><p>Winter</p></radical></div>"	It's <radical>correct</radical> in <radical>winter</radical> to focus on <kanji>politics</kanji> and the <kanji>government</kanji>. Elections are happening, in the new year politicians are being sworn in. Winter is government time! <br><br>  - Hint: Imagine all this politics and government talk as you shiver outside in the winter cold. You’re freezing and you’re bored, but you know this is the right (correct) thing to do.	Kanji Meaning	-	Kanji_Meaning Level_16 Genki_L1
16	関	Related,Connected	"<p class=""element-item primary""> Related </p>,<p class=""element-item""> Connected </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>門</jp-symbol></span><p>Gate</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-horns""></i></jp-symbol></span><p>Horns</p></radical><radical class=""component""><span><jp-symbol>天</jp-symbol></span><p>Heaven</p></radical></div>"	This <radical>gate</radical> of <radical>horns</radical> will take you to <radical>heaven</radical>. These horns are <kanji>related</kanji> and <kanji>connected</kanji> to heaven in some way.<br><br>  - Hint: Perhaps they are related to heaven because the devil has horns? Perhaps they are connected to heaven because these are the horns of heaven's enemies? The real reason they're connected will be revealed in the reading mnemonic.	Kanji Meaning	-	Kanji_Meaning Level_16 Genki_L1
16	専	Specialty	"<p class=""element-item primary""> Specialty </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>十</jp-symbol></span><p>Cross</p></radical><radical class=""component""><span><jp-symbol>田</jp-symbol></span><p>Rice Paddy</p></radical><radical class=""component""><span><jp-symbol>寸</jp-symbol></span><p>Measurement</p></radical></div>"	Sticking a <radical>cross</radical> into a <radical>rice paddy</radical> to get its <radical>measurement</radical>s is your <kanji>specialty</kanji>. Most people get really confused when they have to measure their rice paddies, but that's where you come in. You plant a cross right in the middle, look down it from one end to the other, and voila! You know the measurements immediately. That's why it's your specialty!<br><br>  - Hint: Visualize yourself doing this. The numbers just come to you. It's just what you're good at. Your specialty is something no one else in the world is as good at as you!	Kanji Meaning	-	Kanji_Meaning Level_16 Genki_L1
18	類	Type,Category,Kind	"<p class=""element-item primary""> Type </p>,<p class=""element-item""> Category </p>,<p class=""element-item""> Kind </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>米</jp-symbol></span><p>Rice</p></radical><radical class=""component""><span><jp-symbol>大</jp-symbol></span><p>Big</p></radical><radical class=""component""><span><jp-symbol>頁</jp-symbol></span><p>Geoduck</p></radical></div>"	A <radical>big</radical> <radical>geoduck</radical> loves to eat <radical>rice</radical> of every <kanji>type</kanji>, <kanji>kind</kanji>, and <kanji>category</kanji>. It doesn’t matter what kind of rice it is, this big geoduck will eat it.<br><br>  - Hint: Picture this big geoduck shoveling rice down in a flurry of geoduckness. Hear the sloshing and goopy glugging as the geoduck gorges itself on every type of rice.	Kanji Meaning	-	Kanji_Meaning Level_18 Genki_L1
