Level	Radical	Meaning	Meaning Elements	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
13	原	Original	"<p class=""element-item primary"">Original</p>"	"There is something white and small stuck in this cliff. It's... it's... so <radical>original</radical>, you can't name it. You've never seen anything like it. It's the one and only thing of its type. You decide to just name it ""original"" because you aren't a very original person..."	Radical	-	Level_13 Radical Genki_L0
21	斉	Simultaneous	"<p class=""element-item primary"">Simultaneous</p>"	If you're writing while looking at the moon, you can bet someone else is doing it too. People have a habit of looking at the moon <radical>simultaneous</radical>ly.	Radical	-	Level_21 Radical Genki_L1
17	祭	Festival	"<p class=""element-item primary"">Festival</p>"	This radical is the same as the kanji. It means <radical>festival</radical>.	Radical	-	Level_17 Radical Genki_L1
11	"<i class=""radical-bear""></i>"	Bear	"<p class=""element-item primary"">Bear</p>"	"This looks like the letter ""B"" which stands for <radical>bear</radical>. B for Bear! The letter B also looks a bit like a bear, if you think about it."	Radical	-	Level_11 Radical Genki_L1
24	韋	Korea	"<p class=""element-item primary"">Korea</p>"	There are five mouths eating cow at <radical>Korea</radical>n BBQ. Korea is famous for their delicious BBQ, and you need a lot of people to eat all that beef. At least five people. (Get it? Five people!) That's why this radical is Korea.	Radical	-	Level_24 Radical Genki_L1
23	"<i class=""radical-morning""></i>"	Morning	"<p class=""element-item primary"">Morning</p>"	This is the left side of the kanji <jp>朝</jp>, so we'll call it <radical>morning</radical> too.	Radical	-	Level_23 Radical Genki_L1
14	才	Genius	"<p class=""element-item primary"">Genius</p>"	This radical is the same as the kanji. It means <radical>genius</radical>.	Radical	-	Level_14 Radical Genki_L2
23	革	Leather	"<p class=""element-item primary"">Leather</p>"	When I look at this radical, I see the body and (mainly) head of a bull. What are bulls made of? They're made of <radical>leather</radical>.	Radical	-	Level_23 Radical Genki_L2
27	化	Change	"<p class=""element-item primary"">Change</p>"	This radical is the same as the kanji. It means <radical>change</radical>.	Radical	-	Level_27 Radical Genki_L2
22	丬	Icicle	"<p class=""element-item primary"">Icicle</p>"	This ice is in the shape of a stick. It's an <radical>icicle</radical>!	Radical	-	Level_22 Radical Genki_L3
26	章	Chapter	"<p class=""element-item primary"">Chapter</p>"	This radical is the same as the kanji. It means <radical>chapter</radical>.	Radical	-	Level_26 Radical Genki_L3
48	玄	Mysterious	"<p class=""element-item primary"">Mysterious</p>"	What's under this lid that smells like poop? I don't know! How <radical>mysterious</radical>.	Radical	-	Level_48 Radical Genki_L3
22	呂	Bathtub	"<p class=""element-item primary"">Bathtub</p>"	See the dude sitting inside the box? His head is sticking out the top. That's a <radical>bathtub</radical> he's sitting in.	Radical	-	Level_22 Radical Genki_L3
11	戈	Drunkard	"<p class=""element-item primary"">Drunkard</p>"	This is a ceremony radical with a slide radical. Why would someone be sliding on the floor at a ceremony? If they're a <radical>drunkard</radical>, that's why! People love to drink at ceremonies. And there's always at least one drunkard who takes it too far and slides across the floor doing the worm.	Radical	-	Level_11 Radical Genki_L4
11	"<i class=""radical-trash""></i>"	Trash	"<p class=""element-item primary"">Trash</p>"	There's a lid on top of something you're trying to keep private. It's your <radical>trash</radical>. You wouldn't want people going through your private trash, which is why we put lids on our trash cans. It's also illegal to look through someone's trash, so make sure you never do that.	Radical	-	Level_11 Radical Genki_L4
13	身	Body	"<p class=""element-item primary"">Body</p>"	"This radical is almost the same as the kanji, but it drops the ""some"" from somebody, making this just a <radical>body</radical>. Like the physical body you're trapped in right now."	Radical	-	Level_13 Radical Genki_L4
15	去	Past	"<p class=""element-item primary"">Past</p>"	This radical is the same as the kanji. It means <radical>past</radical>.	Radical	-	Level_15 Radical Genki_L4
16	"<i class=""radical-zombie""></i>"	Zombie	"<p class=""element-item primary"">Zombie</p>"	This radical has a figure reaching out both hands at you with some dirt on his head. This is a <radical>zombie</radical>, and he must have just recently dug himself out of the grave by the looks of it.	Radical	-	Level_16 Radical Genki_L4
12	廴	Yoga	"<p class=""element-item primary"">Yoga</p>"	This looks like someone taking really huge steps and stretching themselves out. Does that sound like anything you know? It should, because it's what you do in <radical>yoga</radical>. Stretch out your legs and arms until you look like this radical. Great! You're doing yoga now!	Radical	-	Level_12 Radical Genki_L4
23	亭	Restaurant	"<p class=""element-item primary"">Restaurant</p>"	"You see a lid on the street with a drawing of a forehead and a mouth on it. Hmm strange. You pick the lid up and reveal... a secret, underground <radical>restaurant</radical>! The mouth + forehead combo was secret street restaurant code for, ""There's good eats down in this here restaurant hole!"""	Radical	-	Level_23 Radical Genki_L4
24	客	Guest	"<p class=""element-item primary"">Guest</p>"	This radical is the same as the kanji. It means <radical>guest</radical>.	Radical	-	Level_24 Radical Genki_L4
11	兄	Older Brother	"<p class=""element-item primary"">Older Brother</p>"	This radical is the same as the kanji. It means <radical>older brother</radical>.	Radical	-	Level_11 Radical Genki_L4
17	苟	Poem	"<p class=""element-item primary"">Poem</p>"	The flowery paragraph isn't just regular writing. It's flowery, which makes it a <radical>poem</radical>.	Radical	-	Level_17 Radical Genki_L4
34	堇	Boot	"<p class=""element-item primary"">Boot</p>"	There's something made of leather with some dirt on the bottom of it. It's a <radical>boot</radical>!	Radical	-	Level_34 Radical Genki_L4
27	召	Call	"<p class=""element-item primary"">Call</p>"	If someone has a sword to your mouth you need to <radical>call</radical> out for help! Call out as loud as you can to anyone nearby who might help you get this guy to take the sword out of your mouth.	Radical	-	Level_27 Radical Genki_L4
36	舛	Dance	"<p class=""element-item primary"">Dance</p>"	You see a cow in the evening. You get closer and realize it's doing a <radical>dance</radical>. All cows dance in the evening. Can you picture it? The cow is dancing, so majestic, in the setting sunlight.	Radical	-	Level_36 Radical Genki_L4
11	皮	Skin	"<p class=""element-item primary"">Skin</p>"	This radical is the same as the kanji. It means <radical>skin</radical>.	Radical	-	Level_11 Radical Genki_L5
12	示	Jackhammer	"<p class=""element-item primary"">Jackhammer</p>"	Do you see the handles on the top and the barb on the bottom? It's a <radical>jackhammer</radical>. How can you tell? The two diagonal lines on the side show the motion of the jackhammer going up and down really fast, doing what jackhammers do. BBBHHRZHHHHRHHRZHZHHZH JUJUJUJUJU.	Radical	-	Level_12 Radical Genki_L5
12	者	Someone	"<p class=""element-item primary"">Someone</p>"	This radical is the same as the kanji. It means <radical>someone</radical>.	Radical	-	Level_12 Radical Genki_L5
12	業	Business	"<p class=""element-item primary"">Business</p>"	This radical is the same as the kanji. It means <radical>business</radical>.	Radical	-	Level_12 Radical Genki_L5
13	坴	Womb	"<p class=""element-item primary"">Womb</p>"	Legs appear between two lumps of dirt. This is the earth's version of a <radical>womb</radical>. Imagine a tiny baby growing under the ground and then sprouting out, legs first, into the world. Imagine being inside this dirt womb. It's warm and damp. You feel safe.	Radical	-	Level_13 Radical Genki_L5
13	丸	Circle	"<p class=""element-item primary"">Circle</p>"	This radical is the same as the kanji. It means <radical>circle</radical>.	Radical	-	Level_13 Radical Genki_L5
13	忄	Soul	"<p class=""element-item primary"">Soul</p>"	There are fins floating off of what's left of a fish. This is the fish's <radical>soul</radical>, left over after you ate its body. Make sure you wave goodbye to the souls of the fish you eat. It's respectful.	Radical	-	Level_13 Radical Genki_L5
15	丈	Height	"<p class=""element-item primary"">Height</p>"	There is a narwhal at the top of this slide. What's it doing? The narwhal is trying to increase its <radical>height</radical>. Picture a narwhal propping itself up on a slide. It's self-conscious of its height. It's trying to prove to all the other narwhals that it should be allowed to play in their narwhal games, even though it's not the same height as them.	Radical	-	Level_15 Radical Genki_L5
16	面	Face	"<p class=""element-item primary"">Face</p>"	You have a leaf, a mouth, and an eye. Those are all things you'll find on a <radical>face</radical>! Wait, you don't have a leaf growing out of your face? Huh... well just imagine you have a normal human face with a leaf on there somewhere, ya weirdo.	Radical	-	Level_16 Radical Genki_L5
18	幸	Happiness	"<p class=""element-item primary"">Happiness</p>"	This radical is the same as the kanji. It means <radical>happiness</radical>. Don't get it confused with the spicy radical <jp>辛</jp>, they're very similar!	Radical	-	Level_18 Radical Genki_L5
18	争	Conflict	"<p class=""element-item primary"">Conflict</p>"	This radical is the same as the kanji. It means <radical>conflict</radical>.	Radical	-	Level_18 Radical Genki_L5
20	兼	Mona Lisa	"<p class=""element-item primary"">Mona Lisa</p>"	This radical looks like a combination of the brush radical and the beauty kanji (<jp>美</jp>). So what's something beautiful you can paint with a brush? The most famous is probably the <radical>Mona Lisa</radical>.	Radical	-	Level_20 Radical Genki_L5
19	成	Become	"<p class=""element-item primary"">Become</p>"	This radical is the same as the kanji. It means <radical>become</radical>.	Radical	-	Level_19 Radical Genki_L5
26	"<i class=""radical-comb""></i>"	Comb	"<p class=""element-item primary"">Comb</p>"	Look at all those little things sticking out. You could easily use it to <radical>comb</radical> your hair.	Radical	-	Level_26 Radical Genki_L5
13	畐	Scarecrow	"<p class=""element-item primary"">Scarecrow</p>"	A creeper in a rice paddy? That's just a <radical>scarecrow</radical>!	Radical	-	Level_13 Radical Genki_L5
37	包	Wrap	"<p class=""element-item primary"">Wrap</p>"	Yourself (oneself) is in prison. Look at the prison as it wraps around you. It wraps you up and holds you tight. That's why this is the <radical>wrap</radical> radical!	Radical	-	Level_37 Radical Genki_L5
12	其	Crab	"<p class=""element-item primary"">Crab</p>"	This looks like the shellfish radical but it's spikier and crazier. Which shelled creature has spikes and pincers? The mighty <radical>crab</radical>!	Radical	-	Level_12 Radical Genki_L6
16	谷	Valley	"<p class=""element-item primary"">Valley</p>"	This radical is the same as the kanji. It means <radical>valley</radical>.	Radical	-	Level_16 Radical Genki_L6
20	義	Righteousness	"<p class=""element-item primary"">Righteousness</p>"	The horns of the king. They are so large and they cause the king to have an ego. This ego gives the king a sense of <radical>righteousness</radical> that he shouldn't have. Well, I suppose that's what kings do, but those horns are ridiculous.	Radical	-	Level_20 Radical Genki_L6
11	及	Escalator	"<p class=""element-item primary"">Escalator</p>"	Do you remember stairs (<jp>乃</jp>)? This radical is a lot like that, but it has extra bits and pieces. It's still stairs... but it's more complicated. And faster! That's why it's an <radical>escalator</radical> instead!	Radical	-	Level_11 Radical Genki_L6
24	"<i class=""radical-death-star""></i>"	Death Star	"<p class=""element-item primary"">Death Star</p>"	There is a hat covering the moon and it's holding a knife. Wait, that's no moon. It's a space station! It's the <radical>Death Star</radical>! It's pretending to be a moon under that hat. And it's armed! Don't let the Death Star stab your planet to death.	Radical	-	Level_24 Radical Genki_L6
17	非	Criminal	"<p class=""element-item primary"">Criminal</p>"	You think you see some legs behind those bars. Who gets put behind bars? Only <radical>criminal</radical>s. This criminal is pretty tall, since you only see his legs behind there.	Radical	-	Level_17 Radical Genki_L6
