Level	Kanji	KanjiStroke	Meaning	Type	DO NOT CHANGE	Tags
10	落	"<img src=""0843d.svg"">"	Fall	Kanji Drawing	-	Kanji_Drawing Level_10
10	農	"<img src=""08fb2.svg"">"	Farming, Agriculture	Kanji Drawing	-	Kanji_Drawing Level_10
10	速	"<img src=""0901f.svg"">"	Fast	Kanji Drawing	-	Kanji_Drawing Level_10
10	頭	"<img src=""0982d.svg"">"	Head	Kanji Drawing	-	Kanji_Drawing Level_10
10	聞	"<img src=""0805e.svg"">"	Hear	Kanji Drawing	-	Kanji_Drawing Level_10
10	院	"<img src=""09662.svg"">"	Institution	Kanji Drawing	-	Kanji_Drawing Level_10
10	調	"<img src=""08abf.svg"">"	Investigate, Tone	Kanji Drawing	-	Kanji_Drawing Level_10
10	鉄	"<img src=""09244.svg"">"	Iron	Kanji Drawing	-	Kanji_Drawing Level_10
10	語	"<img src=""08a9e.svg"">"	Language	Kanji Drawing	-	Kanji_Drawing Level_10
10	葉	"<img src=""08449.svg"">"	Leaf, Leaves	Kanji Drawing	-	Kanji_Drawing Level_10
10	習	"<img src=""07fd2.svg"">"	Learn	Kanji Drawing	-	Kanji_Drawing Level_10
10	軽	"<img src=""08efd.svg"">"	Lightweight, Light, Light Weight	Kanji Drawing	-	Kanji_Drawing Level_10
10	線	"<img src=""07dda.svg"">"	Line	Kanji Drawing	-	Kanji_Drawing Level_10
10	最	"<img src=""06700.svg"">"	Most	Kanji Drawing	-	Kanji_Drawing Level_10
10	開	"<img src=""0958b.svg"">"	Open	Kanji Drawing	-	Kanji_Drawing Level_10
10	親	"<img src=""089aa.svg"">"	Parent	Kanji Drawing	-	Kanji_Drawing Level_10
10	読	"<img src=""08aad.svg"">"	Read	Kanji Drawing	-	Kanji_Drawing Level_10
10	求	"<img src=""06c42.svg"">"	Request	Kanji Drawing	-	Kanji_Drawing Level_10
10	転	"<img src=""08ee2.svg"">"	Revolve	Kanji Drawing	-	Kanji_Drawing Level_10
10	路	"<img src=""08def.svg"">"	Road	Kanji Drawing	-	Kanji_Drawing Level_10
10	病	"<img src=""075c5.svg"">"	Sick, Sickness, Ill, Illness	Kanji Drawing	-	Kanji_Drawing Level_10
10	横	"<img src=""06a2a.svg"">"	Side, Horizontal	Kanji Drawing	-	Kanji_Drawing Level_10
10	歌	"<img src=""06b4c.svg"">"	Song, Sing	Kanji Drawing	-	Kanji_Drawing Level_10
10	起	"<img src=""08d77.svg"">"	Wake Up	Kanji Drawing	-	Kanji_Drawing Level_10
11	功	"<img src=""0529f.svg"">"	Achievement, Accomplishment	Kanji Drawing	-	Kanji_Drawing Level_11
11	競	"<img src=""07af6.svg"">"	Compete	Kanji Drawing	-	Kanji_Drawing Level_11
11	追	"<img src=""08ffd.svg"">"	Follow, Chase	Kanji Drawing	-	Kanji_Drawing Level_11
11	良	"<img src=""0826f.svg"">"	Good	Kanji Drawing	-	Kanji_Drawing Level_11
11	令	"<img src=""04ee4.svg"">"	Orders	Kanji Drawing	-	Kanji_Drawing Level_11
11	位	"<img src=""04f4d.svg"">"	Rank	Kanji Drawing	-	Kanji_Drawing Level_11
11	秒	"<img src=""079d2.svg"">"	Second	Kanji Drawing	-	Kanji_Drawing Level_11
12	息	"<img src=""0606f.svg"">"	Breath	Kanji Drawing	-	Kanji_Drawing Level_12
12	章	"<img src=""07ae0.svg"">"	Chapter	Kanji Drawing	-	Kanji_Drawing Level_12
