Level	Kanji	Meaning	Meaning Elements	Radical Components	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
11	功	Achievement,Accomplishment	"<p class=""element-item primary""> Achievement </p>,<p class=""element-item""> Accomplishment </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>工</jp-symbol></span><p>Construction</p></radical><radical class=""component""><span><jp-symbol>力</jp-symbol></span><p>Power</p></radical></div>"	Using your <radical>construction</radical> <radical>power</radical> you build something great. A true <kanji>achievement</kanji> built for the achievement of making kanji learning easier!<br><br>  - Hint: Just constructing this thing was an achievement. Feel proud like it was, well, an achievement.	Kanji Meaning	-	Kanji_Meaning Level_11
11	競	Compete	"<p class=""element-item primary""> Compete </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>立</jp-symbol></span><p>Stand</p></radical><radical class=""component""><span><jp-symbol>兄</jp-symbol></span><p>Older Brother</p></radical></div>"	<radical>Stand</radical>ing next to your <radical>older brother</radical> is another <radical>stand</radical>ing <radical>older brother</radical> of yours. They're trying to <kanji>compete</kanji>, to see which of them can stand the straightest and tallest.<br><br>  - Hint: Picture your two older brothers competing like this. Are you going to root for one of them? That's not very nice, you shouldn't have a favorite older brother.	Kanji Meaning	-	Kanji_Meaning Level_11
11	追	Follow,Chase	"<p class=""element-item primary""> Follow </p>,<p class=""element-item""> Chase </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol><i class=""radical-scooter""></i></jp-symbol></span><p>Scooter</p></radical><radical class=""component""><span><jp-symbol><i class=""radical-bear""></i></jp-symbol></span><p>Bear</p></radical></div>"	On a <radical>scooter</radical> there is a <radical>bear</radical> trying to <kanji>follow</kanji> and <kanji>chase</kanji> you! You're on your own scooter, luckily, but that doesn't make this any less terrifying.<br><br>  - Hint: Picture the bear on its scooter, following really closely behind your scooter. You can almost feel his bear breath on your neck!	Kanji Meaning	-	Kanji_Meaning Level_11
11	良	Good	"<p class=""element-item primary""> Good </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>丶</jp-symbol></span><p>Drop</p></radical><radical class=""component""><span><jp-symbol>艮</jp-symbol></span><p>Root</p></radical></div>"	A <radical>drop</radical> of water to a <radical>root</radical> is <kanji>good</kanji>. It's good for the roots to grow and live and thrive. And what's good for roots is good for our plants and us humans too.<br><br>  - Hint: Imagine putting a little drop of water over a root you want to grow. Doing this is good for the plant and also good for your soul.	Kanji Meaning	-	Kanji_Meaning Level_11
11	令	Orders	"<p class=""element-item primary""> Orders </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>令</jp-symbol></span><p>Orders</p></radical></div>"	If you know the radical meaning <radical>orders</radical> you know the kanji meaning <kanji>orders</kanji> as well!<br><br>  - Hint: Here's an order: study your radicals.	Kanji Meaning	-	Kanji_Meaning Level_11
11	位	Rank	"<p class=""element-item primary""> Rank </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>ｲ</jp-symbol></span><p>Leader</p></radical><radical class=""component""><span><jp-symbol>立</jp-symbol></span><p>Stand</p></radical></div>"	A <radical>leader</radical> <radical>stand</radical>s at the highest <kanji>rank</kanji> in an organization. The leader is of the highest rank and stands above all others.<br><br>  - Hint: Picture this great leader. Imagine him actually standing on the shoulders of his supporters who are a lower rank than he is. He’s standing atop this great pyramid as a fearless leader.	Kanji Meaning	-	Kanji_Meaning Level_11
11	秒	Second	"<p class=""element-item primary""> Second </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>禾</jp-symbol></span><p>Grain</p></radical><radical class=""component""><span><jp-symbol>少</jp-symbol></span><p>Few</p></radical></div>"	You only got a <radical>few</radical> <radical>grain</radical>s on your plate. It only takes you a  <kanji>second</kanji> to eat them. It can't take any longer because there were so few.<br><br>  - Hint: Count how many seconds it takes for you to eat the few grains you have. One... oh, they're gone.	Kanji Meaning	-	Kanji_Meaning Level_11
12	息	Breath	"<p class=""element-item primary""> Breath </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>自</jp-symbol></span><p>Self</p></radical><radical class=""component""><span><jp-symbol>心</jp-symbol></span><p>Heart</p></radical></div>"	Imagining one’s <radical>self</radical> without a <radical>heart</radical> can make it hard to draw <kanji>breath</kanji>. Without a heart, you’d have no blood pumping and you would start to die. This would make it increasingly harder to draw breath and get oxygen to stay alive.<br><br>  - Hint: Imagine trying to live without a heart. You couldn’t. Your blood stops flowing and your body shuts down. You would no longer be able to draw breath.	Kanji Meaning	-	Kanji_Meaning Level_12
12	章	Chapter	"<p class=""element-item primary""> Chapter </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>立</jp-symbol></span><p>Stand</p></radical><radical class=""component""><span><jp-symbol>早</jp-symbol></span><p>Early</p></radical></div>"	"You <radical>stand</radical> at a podium <radical>early</radical> in the morning to practice reading the <kanji>chapter</kanji> from your latest book.<br><br>  - Hint: Picture yourself, standing tall in the light of the early morning. You hold your head up high, open to your bookmark, and read the name of the chapter aloud: ""Chapter 42: The Most Important Number."""	Kanji Meaning	-	Kanji_Meaning Level_12
12	深	Deep	"<p class=""element-item primary""> Deep </p>"	"<div class=""component-grid""><radical class=""component""><span><jp-symbol>氵</jp-symbol></span><p>Tsunami</p></radical><radical class=""component""><span><jp-symbol>兀</jp-symbol></span><p>Pi</p></radical><radical class=""component""><span><jp-symbol>木</jp-symbol></span><p>Tree</p></radical></div>"	The force of a <radical>tsunami</radical> is enough to put a gash in a <radical>tree</radical> about <radical>pi</radical> (3.14) feet <kanji>deep</kanji>. Tsunamis are pretty powerful, so the force of the water alone is enough to cut into a tree several feet deep.<br><br>  - Hint: Picture this tsunami wave hitting the tree. It’s like a lumberjack axe of water, cutting deep into the tree with the force of a thousand lumberjacks.	Kanji Meaning	-	Kanji_Meaning Level_12
