Level	Radical	Meaning	Meaning Elements	Meaning Mnemonic	Type	DO NOT CHANGE	Tags
12	早	Early	"<p class=""element-item primary"">Early</p>"	This radical is the same as the kanji. It means <radical>early</radical>.	Radical	-	Level_12 Radical
13	意	Idea	"<p class=""element-item primary"">Idea</p>"	This radical is the same as the kanji. It means <radical>idea</radical>.	Radical	-	Level_13 Radical
14	公	Public	"<p class=""element-item primary"">Public</p>"	This radical is the same as the kanji. It means <radical>public</radical>.	Radical	-	Level_14 Radical
15	"<i class=""radical-saw""></i>"	Saw	"<p class=""element-item primary"">Saw</p>"	You're constructing a table. On the table is a drop of blood, which is your blood. This is from cutting yourself on the <radical>saw</radical> that you're using to make the table. Imagine yourself cutting yourself with the saw by accident. Ouch!	Radical	-	Level_15 Radical
15	歩	Walk	"<p class=""element-item primary"">Walk</p>"	This radical is the same as the kanji. It means <radical>walk</radical>.	Radical	-	Level_15 Radical
19	感	Feeling	"<p class=""element-item primary"">Feeling</p>"	This radical is the same as the kanji. It means <radical>feeling</radical>.	Radical	-	Level_19 Radical
20	"<i class=""radical-explosion""></i>"	Explosion	"<p class=""element-item primary"">Explosion</p>"	See the energy bursting outward? That's an <radical>explosion</radical>. Boom!	Radical	-	Level_20 Radical
20	巛	Flood	"<p class=""element-item primary"">Flood</p>"	The three lines that make up the river radical are being pulled to one direction. It's a giant force of water going to the left. It's a <radical>flood</radical>! RUN!	Radical	-	Level_20 Radical
24	制	Control	"<p class=""element-item primary"">Control</p>"	This radical is the same as the kanji. It means <radical>control</radical>.	Radical	-	Level_24 Radical
24	旦	Dawn	"<p class=""element-item primary"">Dawn</p>"	The sun is coming up out of the ground, making this radical <radical>dawn</radical>. Of course, don't confuse this with dusk! You can do that by thinking that the sun is an optimistic and bright thing, so it tends to come up, not go down. (Also, Japan is the Land of the Rising Sun. I mean come on!)	Radical	-	Level_24 Radical
24	然	Nature	"<p class=""element-item primary"">Nature</p>"	This radical is the same as the kanji. It means <radical>nature</radical>.	Radical	-	Level_24 Radical
25	禹	Mantis	"<p class=""element-item primary"">Mantis</p>"	This radical has slide, head, and insect in it. Which insect will slide your head off in a matter of seconds and then eat it? The fearsome praying <radical>mantis</radical>.	Radical	-	Level_25 Radical
26	告	Announce	"<p class=""element-item primary"">Announce</p>"	This radical is the same as the kanji. It means <radical>announce</radical>.	Radical	-	Level_26 Radical
