Kana,Romaji,Type
きゃ,kya,Yōon (拗音)
きゅ,kyu,Yōon (拗音)
きょ,kyo,Yōon (拗音)
ぎゃ,gya,Yōon (拗音)
ぎゅ,gyu,Yōon (拗音)
ぎょ,gyo,Yōon (拗音)
しゃ,sha,Yōon (拗音)
しゅ,shu,Yōon (拗音)
しょ,sho,Yōon (拗音)
じゃ,jya,Yōon (拗音)
じゅ,jyu,Yōon (拗音)
じょ,jyo,Yōon (拗音)
ちゃ,cha,Yōon (拗音)
ちゅ,chu,Yōon (拗音)
ちょ,cho,Yōon (拗音)
ぢゃ,dya,Yōon (拗音)
ぢゅ,dyu,Yōon (拗音)
ぢょ,dyo,Yōon (拗音)
にゃ,nya,Yōon (拗音)
にゅ,nyu,Yōon (拗音)
にょ,nyo,Yōon (拗音)
ひゃ,hya,Yōon (拗音)
ひゅ,hyu,Yōon (拗音)
ひょ,hyo,Yōon (拗音)
びゃ,bya,Yōon (拗音)
びゅ,byu,Yōon (拗音)
びょ,byo,Yōon (拗音)
ぴゃ,pya,Yōon (拗音)
ぴゅ,pyu,Yōon (拗音)
ぴょ,pyo,Yōon (拗音)
みゃ,mya,Yōon (拗音)
みゅ,myu,Yōon (拗音)
みょ,myo,Yōon (拗音)
りゃ,rya,Yōon (拗音)
りゅ,ryu,Yōon (拗音)
りょ,ryo,Yōon (拗音)
