胃	Radical				Stomach	Stomach															This radical is the same as the kanji. It means <radical>stomach</radical>.					7664	-	Lesson_51 radical
偉	Kanji	ｲ, 韋	Leader, Korea	radical, radical	Greatness	Greatness		<reading>い</reading>	えら			い	えら								The <radical>leader</radical> of <radical>Korea</radical> is destined for <kanji>greatness</kanji>.	I mean, they're the leader of Korea already, right? So they have to have a decent chunk of greatness in them already to get that far.	The <kanji>greatness</kanji> radiates off of the leader of Korea, so much so that you can hardly look. Just when you're about to close your eyes to shield them from the greatness, a great <reading>ea</reading>gle (<ja>い</ja>) soars over them, letting out a cry.	Picture the greatness of the scene before you: the leader of Korea, a great eagle overhead, it's so great!!		7665	-	kanji Lesson_51
頂	Kanji	丁, 頁	Street, Geoduck	radical, radical	Summit, Humbly	Summit, Humbly		<reading>ちょう</reading>	いただき いただ			ちょう	いただき, いただ								Take the <radical>street</radical> all the way to that <radical>geoduck</radical>, way up there. When you reach it, you will have made it to the <kanji>summit</kanji>. You <kanji>humbly</kanji> present the road to the geoduck and bow before it.	There is a giant geoduck at the summit of the mountain, and the street will lead you right there. Imagine the grueling climb up the mountain to the summit. Feel it in your legs, and keep looking at that tall, tall geoduck. Now imagine kneeling those same aching legs humbly to the street below the geoduck.	You are at the top, the <kanji>summit</kanji> of everything! You <kanji>humbly</kanji> survey your surroundings from the top of the geoduck, only to see someone on the street, running toward you. It is Mrs. <reading>Chou</reading> (<ja>ちょう</ja>), and she looks angry.	Anytime you use the street, you're in Mrs. Chou's territory. After detecting you were using her street to reach the geoduck, she started coming after you. Remember, wherever there's a street (radical), Mrs. Chou is not far behind.		7666	-	kanji Lesson_51
召	Kanji	召	Call	radical	Call, Eat	Call, Eat		<reading>しょう</reading>	め			しょう	め								The <radical>call</radical> radical and the <kanji>call</kanji> kanji are the same. This kanji can also mean <kanji>eat</kanji>, because why would you call someone if not to ask them to eat with you?!	Call your mom or dad and ask them to go out to eat with you right now.	You are <kanji>call</kanji>ed to come <kanji>eat</kanji> by the <reading>Shou</reading>gun (<ja>しょう</ja>). He's been really impressed with you lately and he wants to chat over drinks, he says on the phone.	Imagine getting a call from the Shougun himself. He's come to your house before, but he's never asked you to eat with him. This is huge!		7667	-	kanji Lesson_51
挟	Kanji	扌, 夫, <i class=radical-horns></i>	Fingers, Husband, Horns	radical, radical, radical	Between	Between		きょう しょう	<reading>はさ</reading>			はさ	きょう, しょう								Your <radical>fingers</radical> have <radical>husband</radical> <radical>horns</radical>. They are there right <kanji>between</kanji> each of your fingers.	Imagine little husband horns (the horns your husband has) between all your fingers. Emphasis on _between_.	What is <kanji>between</kanji> your fingers? Your <reading>hus</reading>band (<ja>はさ</ja>) horns.	Husband, between. Between, husband.		7668	-	kanji Lesson_51
枯	Kanji	木, 古	Tree, Old	radical, radical	Wither	Wither		<reading>こ</reading>	か			こ	か								When a <radical>tree</radical> grows <radical>old</radical>, it will <kanji>wither</kanji>.	Old trees' roots and leaves grow inefficient, and they can't get enough nutrients. It's only natural for them to wither up a little bit.	This <kanji>wither</kanji>ed tree's best friend is a human <ja><reading>子</reading></ja> (<ja>こ</ja>). Imagine the child hugging the tree.	It gave the <ja>子</ja> its shade, its sap, and eventually its body to build a house. What an awful child, and what a generic giving tree.		7669	-	kanji Lesson_51
沸	Kanji	氵, 弗	Tsunami, Dollar	radical, radical	Boil	Boil		<reading>ふつ</reading>	わ			ふつ	わ								If a <radical>tsunami</radical> hits a <radical>dollar</radical> the water will instantly start to <kanji>boil</kanji>!	Imagine standing in front of an incoming tsunami. Suddenly in the distance you see someone throwing dollar bills into it and it starts to boil. Ahh!	The <kanji>boil</kanji>ing water crashes onto the land and you realize your foot is in it! No, not one foot, both your <reading>foots</reading> (<ja>ふつ</ja>)! It hurts so much that you can't even remember the word for two foots.	Feel your poor little foots burn in the boiling water. You really want to know who that jerk was that threw dollars into the tsunami to make it boil!		7670	-	kanji Lesson_51
濯	Kanji	氵, ヨ, 隹	Tsunami, Wolverine, Turkey	radical, radical, radical	Wash	Wash		<reading>たく</reading>	すす ゆす そそぐ			たく	すす, ゆす, そそぐ								You need to throw your two <radical>wolverine</radical>s and your <radical>turkey</radical> into the oncoming <radical>tsunami</radical> if you want to <kanji>wash</kanji> them at the same time. It's the only way you can get them clean at once without the wolverines fighting over the turkey and somebody getting hurt. The tsunami is big enough to wash them all before anything bad happens.	Imagine the tsunami coming toward you. Two wolverines in one hand and a turkey in the other. You're gonna wash them so good they'll never get dirty again.	Once they're nice and <kanji>wash</kanji>ed you need to subdue them by poking each of them with a <reading>tack</reading> (<ja>たく</ja>). The tack has special sleeping medicine on it, so once they're nice and clean you can put them back in their cages without them trying to eat each other.	If you want to wash your animals make sure to have your special tack ready. The tsunami will recede pretty fast so get it out!		7671	-	kanji Lesson_51
燥	Kanji	火, 喿	Fire, Syrup	radical, radical	Dry Up	Dry Up		<reading>そう</reading>	はしゃ			そう	はしゃ								Put <radical>syrup</radical> too close to <radical>fire</radical> and it will <kanji>dry up</kanji>. Put any liquid substance near fire and it will dry up actually, but syrup especially. It goes from being sticky and gooey and yummy to a pile of hard, dry sugar. Not so yummy.	Imagine putting some syrup over a fire and watching it dry up. Watch as the sides slowly bubble and harden and lose what makes syrup so good in the first place.	If you <kanji>dry up</kanji> syrup like this, you're removing its <reading>sou</reading>l (<ja>そう</ja>). Have you ever seen dry syrup before? No soul in that. In fact, you probably have no soul if you can dry out syrup like this without feeling bad about it.	Go back to imagining a fire drying up some syrup and watch as a tiny little syrup soul cries and is released into the air. Oh no!		7672	-	kanji Lesson_51
瓶	Kanji	<i class=radical-horns></i>, 开, 万, 丶, 一	Horns, Lantern, Ten Thousand, Drop, Ground	radical, radical, radical, radical, radical	Bottle, Jar	Bottle, Jar		<reading>びん</reading>	かめ			びん	かめ								A <radical>lantern</radical> with <radical>horns</radical> that can hold <radical>ten thousand</radical> <radical>drop</radical>s of water is sitting on the <radical>ground</radical>. You get closer and realize it's not a lantern, it's a <kanji>bottle</kanji>. It's got horns, and a weird handle, but it's definitely a bottle with water inside of it.	Picture this horned bottle sitting on the ground. You don't know who left it here or why, but it's here and the weirdest looking bottle you've ever seen.	Even though you're not the one who left this <kanji>bottle</kanji> here, you decide to do the right thing and throw it in the trash <reading>bin</reading> (<ja>びん</ja>). It's not right to leave a bottle just sitting on the ground, you know.	Imagine picking up this weird bottle with your bare hands and putting it in a trash bin. You did your good deed for today! Yay!		7673	-	kanji Lesson_51
耕	Kanji	耒, 井	Plow, Well	radical, radical	Plow	Plow		<reading>こう</reading>	たがや			こう	たがや								You have a <radical>plow</radical> and a (water) <radical>well</radical>. These are the two things you need in order to <kanji>plow</kanji>.	You'd think you'd only need a plow, but you also need water if you're going to plow a field, otherwise what's the point?	<kanji>plow</kanji>ing all the fields are <ja><reading>こう</reading>いち</ja>s. Not Emperor <ja>こういち</ja>. These are the <ja>こういち</ja> clones the government made, and now they're being put to use.	Thousands and thousands of <ja>こういち</ja>s, set free unto the world to do all our <kanji>plow</kanji>ing work.		7674	-	kanji Lesson_51
