ga;が;[sound:が.mp3];Dakuon (濁音)
gi;ぎ;[sound:ぎ.mp3];Dakuon (濁音)
gu;ぐ;[sound:ぐ.mp3];Dakuon (濁音)
ge;げ;[sound:げ.mp3];Dakuon (濁音)
go;ご;[sound:ご.mp3];Dakuon (濁音)
za;ざ;[sound:ざ.mp3];Dakuon (濁音)
ji;じ;[sound:じ.mp3];Dakuon (濁音)
zu;ず;[sound:ず.mp3];Dakuon (濁音)
ze;ぜ;[sound:ぜ.mp3];Dakuon (濁音)
zo;ぞ;[sound:ぞ.mp3];Dakuon (濁音)
da;だ;[sound:だ.mp3];Dakuon (濁音)
di;ぢ;[sound:ぢ.mp3];Dakuon (濁音)
du;づ;[sound:づ.mp3];Dakuon (濁音)
de;で;[sound:で.mp3];Dakuon (濁音)
do;ど;[sound:ど.mp3];Dakuon (濁音)
ba;ば;[sound:ば.mp3];Dakuon (濁音)
bi;び;[sound:び.mp3];Dakuon (濁音)
bu;ぶ;[sound:ぶ.mp3];Dakuon (濁音)
be;べ;[sound:べ.mp3];Dakuon (濁音)
bo;ぼ;[sound:ぼ.mp3];Dakuon (濁音)
pa;ぱ;[sound:ぱ.mp3];Handakuon (半濁音)
pi;ぴ;[sound:ぴ.mp3];Handakuon (半濁音)
pu;ぷ;[sound:ぷ.mp3];Handakuon (半濁音)
pe;ぺ;[sound:ぺ.mp3];Handakuon (半濁音)
po;ぽ;[sound:ぽ.mp3];Handakuon (半濁音)
