a;あ;[sound:あ.mp3];Gojūon (五十音)
i;い;[sound:い.mp3];Gojūon (五十音)
u;う;[sound:う.mp3];Gojūon (五十音)
e;え;[sound:え.mp3];Gojūon (五十音)
o;お;[sound:お.mp3];Gojūon (五十音)
ka;か;[sound:か.mp3];Gojūon (五十音)
ki;き;[sound:き.mp3];Gojūon (五十音)
ku;く;[sound:く.mp3];Gojūon (五十音)
ke;け;[sound:け.mp3];Gojūon (五十音)
ko;こ;[sound:こ.mp3];Gojūon (五十音)
sa;さ;[sound:さ.mp3];Gojūon (五十音)
shi;し;[sound:し.mp3];Gojūon (五十音)
su;す;[sound:す.mp3];Gojūon (五十音)
se;せ;[sound:せ.mp3];Gojūon (五十音)
so;そ;[sound:そ.mp3];Gojūon (五十音)
ta;た;[sound:た.mp3];Gojūon (五十音)
chi;ち;[sound:ち.mp3];Gojūon (五十音)
tsu;つ;[sound:つ.mp3];Gojūon (五十音)
te;て;[sound:て.mp3];Gojūon (五十音)
to;と;[sound:と.mp3];Gojūon (五十音)
na;な;[sound:な.mp3];Gojūon (五十音)
ni;に;[sound:に.mp3];Gojūon (五十音)
nu;ぬ;[sound:ぬ.mp3];Gojūon (五十音)
ne;ね;[sound:ね.mp3];Gojūon (五十音)
no;の;[sound:の.mp3];Gojūon (五十音)
ha;は;[sound:は.mp3];Gojūon (五十音)
hi;ひ;[sound:ひ.mp3];Gojūon (五十音)
hu/fu;ふ;[sound:ふ.mp3];Gojūon (五十音)
he;へ;[sound:へ.mp3];Gojūon (五十音)
ho;ほ;[sound:ほ.mp3];Gojūon (五十音)
ma;ま;[sound:ま.mp3];Gojūon (五十音)
mi;み;[sound:み.mp3];Gojūon (五十音)
mu;む;[sound:む.mp3];Gojūon (五十音)
me;め;[sound:め.mp3];Gojūon (五十音)
mo;も;[sound:も.mp3];Gojūon (五十音)
ya;や;[sound:や.mp3];Gojūon (五十音)
yu;ゆ;[sound:ゆ.mp3];Gojūon (五十音)
yo;よ;[sound:よ.mp3];Gojūon (五十音)
ra;ら;[sound:ら.mp3];Gojūon (五十音)
ri;り;[sound:り.mp3];Gojūon (五十音)
ru;る;[sound:る.mp3];Gojūon (五十音)
re;れ;[sound:れ.mp3];Gojūon (五十音)
ro;ろ;[sound:ろ.mp3];Gojūon (五十音)
wa;わ;[sound:わ.mp3];Gojūon (五十音)
wo;を;[sound:を.mp3];Gojūon (五十音)
n;ん;[sound:ん.mp3];Gojūon (五十音)
